RegionID,SizeRank,RegionName,RegionType,StateName,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
394609,165,"Fort Smith, AR",Msa,AR,102722.5044,102817.2733,102995.3206,103338.1645,103675.3332,103566.2776,103636.8649,104168.6777,104712.4503,105312.0031,105872.6309,105754.3529,105891.6687,106691.6048,107007.245,107375.0493,107748.7396,107964.5069,108050.6571,108570.1386,109134.0794,109273.1759,109503.3362,110137.6252,110702.8005,111007.7758,111785.5772,111944.9078,112538.665,112669.5669,113187.4475,113783.0328,113810.2236,114880.3181,113861.9146,113398.3706,115101.1121,115937.5683,117132.3659,117669.0426
394543,166,"Duluth, MN",Msa,MN,159597.6099,159124.6155,160589.9132,160387.3194,158547.9933,159470.443,159860.8917,160655.3937,160644.1826,163711.6274,162608.1259,163295.4779,161013.2986,161857.9526,160711.4707,160886.6506,162056.8588,161815.5525,164397.0517,166872.7008,168227.8615,169164.3106,170602.407,171026.9803,170987.1994,171503.7162,172076.4104,172254.5229,172744.0401,175292.1784,175694.331,174556.89,174597.5967,175337.3876,175935.0235,178813.3,178741.2648,180686.4529,183666.6925,186189.5023
394348,167,"Atlantic City, NJ",Msa,NJ,181383.243,184117.5831,185536.7067,182976.8243,183080.7458,182147.8556,184544.6198,184622.4483,185449.4924,187027.5629,187554.3074,188080.222,186729.3391,188480.9578,188055.9468,189279.6052,193072.1,194263.6706,195665.1066,196723.9956,196746.8925,196463.7047,198141.22,198144.2256,198054.5678,198196.3472,196454.0022,198317.7792,199531.4878,200934.3561,202230.1819,203263.6343,205654.6325,206917.7106,208778.1401,212144.4663,218349.1227,224786.2835,226855.3898,231050.9142
394924,168,"New London, CT",Msa,CT,241860.617,242381.7807,241361.3975,242678.4881,237526.0171,235810.6998,240011.1218,241199.9364,242568.9974,244157.2599,242057.6319,242030.2804,238182.6641,241271.8147,241936.2571,240952.4693,239975.8399,244032.6194,244561.478,245304.9074,247159.124,248156.6564,248118.0939,246470.528,246958.3158,245581.6004,244895.2967,247076.1816,247673.6342,246845.9555,245672.9878,247491.9159,248606.2819,256274.6012,257410.2993,258532.7931,264162.5342,268126.091,272416.1175,277873.1001
395061,169,"San Luis Obispo, CA",Msa,CA,592730.6189,594685.3819,603386.7883,612356.6323,612475.6117,618268.4883,616303.6738,614193.5261,618813.7231,627923.1587,630343.8421,617858.7852,616509.419,620115.8454,616768.2571,621265.1116,619620.3078,615617.3976,627674.191,632243.9302,636305.7422,629966.8978,617281.329,623594.8329,627785.8913,624934.2369,627831.6421,632857.7889,632203.4655,647178.2043,642888.1637,647691.9112,645470.8323,642693.3794,646416.5507,651888.4465,659022.6853,664960.4114,674491.0287,679479.1252
394622,170,"Gainesville, FL",Msa,FL,179743.2981,180799.824,180504.792,179519.7513,177888.3616,178704.6507,181703.8878,183822.5991,186632.0267,187705.5679,187318.5311,187050.1424,186609.3336,186007.3044,188173.7604,190942.1333,190142.4599,191323.9224,192328.3476,194452.1812,194653.6467,195501.8215,196641.7198,197348.2362,199131.6343,198350.2009,197637.1061,200497.8387,201894.2149,203721.6597,203475.3929,205593.7601,206703.6731,206304.3229,205843.3566,210017.5976,210495.7651,212337.2126,216859.9857,218386.3705
395065,171,"Santa Cruz, CA",Msa,CA,809849.0821,810585.6822,818199.8944,829258.0844,833482.866,839436.667,863660.5999,865293.0497,876889.0886,873894.6563,855837.1562,856548.4163,846234.0238,848607.435,854417.8502,861684.9411,843408.2591,866804.8791,856696.9287,862905.1693,862560.9647,857289.5769,846014.2868,839105.1132,846420.7559,850155.9045,840218.9312,847411.9238,848652.0819,865156.5985,877082.6808,872366.6316,864708.5147,862873.4597,873700.5254,901020.346,904789.3627,919270.7384,940754.4603,947741.7589
394471,172,"Clarksville, TN",Msa,TN,149154.4257,149289.4378,150054.032,150663.0103,151304.7383,151986.1756,153088.1279,154256.7013,155961.979,157042.3946,157599.2598,158439.0142,159016.9663,159673.591,159713.9497,160509.845,160733.9476,161100.8823,161559.6637,162024.433,162855.5166,163121.7772,163826.5395,163889.7725,164936.4039,165340.5801,166261.3157,166526.7376,167513.6587,168969.2572,172635.9459,171689.9138,175054.4914,176095.3909,177214.14,179345.3289,180801.1088,183244.0662,185084.3805,187248.7338
394447,173,"Cedar Rapids, IA",Msa,IA,150175.6299,150009.2461,150666.9039,150843.8707,150810.2452,151843.9637,151910.3763,152576.7631,153716.3456,153514.6481,154603.6706,155142.8075,155158.061,155808.2958,155911.925,156331.7172,156999.7002,158589.4583,159091.0019,159772.468,159333.1103,160126.3407,160191.8172,159804.2635,159932.6746,159631.1745,160487.1576,160860.8123,161652.4492,161720.4292,161404.0003,161220.5981,163192.0538,163790.9904,163531.5189,163423.1249,163922.576,164947.3653,165098.3026,167253.8795
394851,174,"Merced, CA",Msa,CA,245498.447,250373.745,251275.2943,253870.7293,259707.0007,259106.4174,260966.52,263168.6046,262436.9924,264513.211,264571.1889,267034.8654,269293.076,270862.1626,272246.0797,274185.4021,272718.8069,271478.2624,272847.2008,275959.1706,277017.4823,278018.3981,273725.3211,274577.8733,274976.592,276683.0867,276666.1359,277639.7414,280562.8495,285714.1357,286366.0742,284075.4966,282141.5855,287229.6494,293795.0456,292319.3961,295756.2186,302193.0743,310994.4418,314176.2197
